#Wavelength (nm)	Transmittance(%)
1500	0.0000917
1501	0.000528
1502	0.000318
1503	0.000408
1504	0.000267
1505	0.000299
1506	0.000161
1507	0.000185
1508	0.000138
1509	0.000238
1510	0.000215
1511	0.000359
1512	0.000245
1513	0.000289
1514	0.000208
1515	0.000307
1516	0.000232
1517	0.000312
1518	0.000246
1519	0.000339
1520	0.000219
1521	0.000191
1522	0.000105
1523	0.00021
1524	0.000292
1525	0.000564
1526	0.00139
1527	0.00177
1528	0.00233
1529	0.00196
1530	0.00259
1531	0.00167
1532	0.00279
1533	0.004
1534	0.00804
1535	0.01121
1536	0.01552
1537	0.02794
1538	0.07668
1539	0.14463
1540	0.22465
1541	0.30961
1542	0.40862
1543	0.53803
1544	0.70844
1545	0.99592
1546	1.53906
1546.25	1.27744
1546.5	2.07688
1546.75	2.56892
1547	4.21779
1547.25	7.15362
1547.5	12.77324
1547.75	22.14313
1548	35.65061
1548.25	51.88514
1548.5	70.09854
1548.75	85.11478
1549	93.33575
1549.25	95.72448
1549.5	95.9942
1549.75	95.79548
1550	96.00614
1550.25	96.30326
1550.5	95.99464
1550.75	94.71265
1551	93.08571
1551.25	89.86074
1551.5	83.95199
1551.75	74.85865
1552	61.52477
1552.25	45.58458
1552.5	30.34171
1552.75	17.53969
1553	9.62119
1553.25	5.26091
1553.5	2.64125
1554	0.91183
1555	0.6025
1556	0.42052
1557	0.3118
1558	0.22314
1559	0.20805
1560	0.12023
1561	0.06502
1562	0.03671
1563	0.03447
1564	0.01439
1565	0.01052
1566	0.0101
1567	0.00829
1568	0.00758
1569	0.0059
1570	0.00573
1571	0.0048
1572	0.0047
1573	0.00388
1574	0.00289
1575	0.00226
1576	0.00201
1577	0.00138
1578	0.00139
1579	0.000812
1580	0.000507
1581	0.000107
1582	0.000189
1583	0.000051
1584	0.000393
1585	0.000363
1586	0.000434
1587	0.000253
1588	0.000302
1589	0.000296
1590	0.000304
1591	0.000284
1592	0.000301
1593	0.000254
1594	0.000237
1595	0.000225
1596	0.000214
1597	0.000175
1598	0.00015
1599	0.000128
1600	0.000137
